Ward,Searches,Searches_Got_Estimate,Searches_For_Quotes,Searches_Got_Quotes,Bookings,Completed_Trips,Search_To_Estimate_Rate,Estimate_To_Quote_Search_Rate,Quote_Acceptance_Rate,Quote_To_Booking_Rate,Cancelled_Bookings,Booking_Cancellation_Rate,Conversion_Rate,Drivers_Earnings,Average_Distance_Per_Trip_Km,Average_Fare_Per_Trip,Distance_Travelled_Km,Is_Bangalore_Total,Completion_Rate_From_Bookings,Fare_Per_Km,Earnings_Per_Completed_Trip,Distance_Per_Completed_Trip_Km,Booking_to_Search_Rate,Searches_Percentile,Bookings_Percentile,Completed_Trips_Percentile,Conversion_Rate_Percentile,Booking_Cancellation_Rate_Percentile,Average_Fare_Per_Trip_Percentile,Average_Distance_Per_Trip_Km_Percentile,Drivers_Earnings_Percentile,Demand_Quartile,Conversion_Quartile,Cancellation_Quartile
Devarachikkanahalli,226563,224459,181209,88766,87174,55262,99.1,80.7,49.0,98.2,31900,36.6,24.4,8343832,8.29,147.16,475621,False,63.39275472044417,17.751507840772017,150.9867901994137,8.606655568021425,38.476715085870154,62.295081967213115,50.81967213114754,51.229508196721305,19.262295081967213,59.83606557377049,80.32786885245902,77.8688524590164,54.50819672131148,High,Low,High
Kempegowda Ward,223033,220550,158743,91311,89805,54974,98.9,72.0,57.5,98.4,34816,38.8,24.6,9949162,9.86,168.46,592827,False,61.21485440677022,17.085192697768765,180.9794084476298,10.783770509695492,40.265341900077566,61.47540983606557,53.278688524590166,50.81967213114754,21.10655737704918,71.72131147540983,96.72131147540983,96.92622950819673,63.934426229508205,High,Low,High
Neelasandra,220700,219466,187313,90231,88979,54805,99.4,85.3,48.2,98.6,34144,38.4,24.8,6463739,5.83,110.57,352007,False,61.593184908798705,18.965694682675814,117.94068059483624,6.422899370495393,40.31671952877209,60.65573770491803,52.459016393442624,50.409836065573764,22.33606557377049,69.26229508196722,6.557377049180328,3.278688524590164,43.44262295081967,High,Low,High
Kumaraswamy Layout,143853,142737,105455,82322,80684,54590,99.2,73.9,78.1,98.0,26080,32.3,38.0,6371132,6.39,114.23,358192,False,67.6590154181746,17.876369327073554,116.70877450082433,6.561494779263602,56.087811863499546,43.85245901639344,48.36065573770492,50.0,80.73770491803278,28.278688524590162,17.21311475409836,19.4672131147541,42.62295081967213,Moderate,Very High,Moderate
Thanisandra,155904,155006,113130,84772,82935,54435,99.4,73.0,74.9,97.8,28487,34.4,34.9,8798989,8.64,150.7,514432,False,65.63573883161511,17.442129629629626,161.64212363369157,9.45039037384036,53.19619766009852,47.13114754098361,49.18032786885246,49.59016393442623,66.59836065573771,43.23770491803279,84.8360655737705,86.0655737704918,56.9672131147541,Moderate,High,Moderate
Attiguppe,122277,121113,83123,74314,72200,52845,99.1,68.6,89.4,97.2,19332,26.8,43.2,6467725,6.97,123.87,369824,False,73.19252077562327,17.77187948350072,122.39048159712367,6.998277982779828,59.046263810855685,39.34426229508197,43.0327868852459,49.18032786885246,97.95081967213115,3.0737704918032787,38.52459016393443,40.57377049180328,43.85245901639344,Moderate,Very High,Low
Ramaswamy Palya,158326,157576,131163,78156,76894,52575,99.5,83.2,59.6,98.4,24304,31.6,33.2,6218113,6.07,112.24,344823,False,68.37334512445705,18.490939044481053,118.27128863528293,6.558687589158345,48.566880992382806,47.540983606557376,46.31147540983606,48.77049180327869,59.01639344262295,21.51639344262295,11.475409836065573,7.172131147540983,41.39344262295082,Moderate,High,Low
Sudham Nagara,207651,206119,168626,88531,86990,51838,99.3,81.8,52.5,98.3,35118,40.4,25.0,7147733,7.44,132.63,406732,False,59.59075755834004,17.826612903225804,137.88597168100623,7.846213202669856,41.89240600815792,57.377049180327866,50.409836065573764,48.36065573770492,23.15573770491803,80.5327868852459,59.63114754098361,58.606557377049185,48.36065573770492,High,Low,Very High
Kanneshwara Rama,137753,136778,102151,76606,75289,50824,99.3,74.7,75.0,98.3,24444,32.5,36.9,6666800,7.24,126.82,383834,False,67.50521324496275,17.516574585635357,131.174248386589,7.552219423894223,54.655071032935766,41.80327868852459,45.90163934426229,47.950819672131146,75.81967213114754,29.713114754098363,44.67213114754098,51.63934426229508,45.90163934426229,Moderate,Very High,Moderate
Gurappanapalya,219358,217350,175884,97073,95401,50729,99.1,80.9,55.2,98.3,44650,46.8,23.1,6598625,6.94,126.23,366661,False,53.17449502625758,18.188760806916427,130.07599203611346,7.227838120207377,43.491005570802066,59.83606557377049,56.9672131147541,47.540983606557376,14.139344262295081,96.31147540983606,43.64754098360656,39.75409836065574,45.49180327868852,High,Low,Very High
Basavanapura,221845,220103,169213,83635,82367,50465,99.2,76.9,49.4,98.5,31894,38.7,22.8,8871533,9.62,168.17,516880,False,61.268469168477665,17.48128898128898,175.79575943723373,10.242346180521153,37.12817507719354,61.065573770491795,48.77049180327869,47.13114754098361,12.5,70.49180327868852,96.31147540983606,95.49180327868852,58.19672131147541,High,Low,High
Kudlu,236803,234065,197098,81672,80368,50108,98.8,84.2,41.4,98.4,30253,37.6,21.2,8378598,9.02,159.12,480351,False,62.34819828787577,17.64079822616408,167.21078470503713,9.586313562704559,33.9387592218004,65.1639344262295,47.540983606557376,46.72131147540984,6.557377049180328,66.39344262295081,91.80327868852459,92.00819672131148,54.91803278688525,High,Low,High
Sir M. Vishweshwaraiah,118310,117288,78883,70564,68993,49703,99.1,67.3,89.5,97.8,19275,27.9,42.0,7042823,7.65,131.9,416894,False,72.040641804241,17.241830065359476,141.69814699313926,8.387702955556003,58.315442481616095,38.114754098360656,42.21311475409836,46.31147540983606,94.4672131147541,6.147540983606557,56.9672131147541,64.75409836065575,47.13114754098361,Moderate,Very High,Low
Mattikere,127532,126489,91822,74048,72560,49681,99.2,72.6,80.6,98.0,22863,31.5,39.0,6240282,6.83,121.59,355613,False,68.4688533627343,17.80234260614934,125.60701274128942,7.157927577947304,56.89552426057774,40.16393442622951,43.44262295081967,45.90163934426229,84.01639344262296,19.87704918032787,33.19672131147541,36.27049180327869,41.80327868852459,Moderate,Very High,Low
Someshwara Ward,135715,134750,93900,74919,73572,49328,99.3,69.7,79.8,98.2,24230,32.9,36.4,8645725,9.86,167.44,516119,False,67.04724623498069,16.981744421906694,175.27013055465457,10.463002757054817,54.2106620491471,40.98360655737705,44.67213114754098,45.49180327868852,74.18032786885246,31.557377049180328,95.90163934426229,96.92622950819673,55.73770491803278,Moderate,High,Moderate
Kuvempunagar,146326,145244,105110,75973,74164,49239,99.3,72.4,72.3,97.6,24917,33.6,33.7,7473265,8.65,148.64,440698,False,66.39205005123779,17.183815028901734,151.77532037612463,8.950181766485915,50.684088952065935,44.26229508196721,45.49180327868852,45.08196721311475,62.5,38.114754098360656,81.9672131147541,86.47540983606558,50.409836065573764,Moderate,High,Moderate
Someshwara Nagar,202532,201374,160896,84826,83617,48356,99.4,79.9,52.7,98.6,35234,42.1,23.9,6948587,7.55,133.6,398478,False,57.83034550390471,17.695364238410594,143.69648027132104,8.240507899743568,41.28582149981238,56.557377049180324,49.59016393442623,44.67213114754098,17.008196721311474,89.75409836065575,61.47540983606557,61.47540983606557,46.31147540983606,High,Low,Very High
Nalvadi Krishnaraja Wadior Park,115514,114506,75953,68469,66856,48127,99.1,66.3,90.1,97.6,18727,28.0,41.7,7063617,8.19,140.92,418340,False,71.98605959076222,17.206349206349206,146.7703575955285,8.692417977434705,57.876967294007656,36.0655737704918,40.57377049180328,44.26229508196721,92.62295081967213,6.557377049180328,70.69672131147541,75.20491803278688,47.540983606557376,Moderate,Very High,Low
Vishwanath Nagenahalli,154030,153201,118304,73656,72720,47891,99.5,77.2,62.3,98.7,24812,34.1,31.1,6530937,6.53,119.33,370828,False,65.8567106710671,18.274119448698315,136.37086300139902,7.7431667745505415,47.21158215931961,46.31147540983606,43.85245901639344,43.85245901639344,47.540983606557376,40.98360655737705,27.86885245901639,23.975409836065573,45.08196721311475,Moderate,Moderate,Moderate
HAL Airport,211250,209175,169890,75050,74006,47030,99.0,81.2,44.2,98.6,26966,36.4,22.3,7494305,8.55,151.55,428553,False,63.54890144042374,17.72514619883041,159.35158409525835,9.112332553689134,35.03242603550296,58.606557377049185,45.08196721311475,43.44262295081967,8.811475409836065,58.40163934426229,86.0655737704918,84.42622950819673,50.81967213114754,High,Low,High
Vikram Nagar,119772,118755,89035,66520,64768,45251,99.2,75.0,74.7,97.4,19502,30.1,37.8,5800764,7.24,129.76,330132,False,69.86629199604744,17.922651933701655,128.1908466111246,7.295573578484453,54.07607788130782,38.52459016393443,38.9344262295082,43.0327868852459,79.30327868852459,14.344262295081966,50.0,51.63934426229508,38.9344262295082,Moderate,Very High,Low
Dodda Bommasandra,133094,132125,96560,68415,67164,44788,99.3,73.1,70.9,98.2,22363,33.3,33.7,6400370,8.04,140.8,373067,False,66.68453338097791,17.512437810945276,142.9036795570242,8.329619540948467,50.46358212992321,40.57377049180328,41.39344262295082,42.62295081967213,62.5,34.83606557377049,70.08196721311475,73.15573770491804,43.0327868852459,Moderate,High,Moderate
Hanumanth Nagar,111343,110436,78939,63637,62055,44418,99.2,71.5,80.6,97.5,17619,28.4,39.9,5196937,6.75,118.14,294931,False,71.57843848199178,17.502222222222223,117.00069791525958,6.639898239452474,55.73318484323217,34.01639344262295,37.704918032786885,42.21311475409836,86.68032786885246,7.377049180327869,24.59016393442623,33.40163934426229,35.65573770491803,Moderate,Very High,Low
Rajamahal Guttahalli,117569,116512,90080,64358,63260,44403,99.1,77.3,71.5,98.3,18841,29.8,37.8,5386551,6.3,113.9,304299,False,70.19127410686058,18.07936507936508,121.31051955948922,6.853118032565368,53.80670074594494,36.885245901639344,38.114754098360656,41.80327868852459,79.30327868852459,12.90983606557377,15.163934426229508,15.778688524590164,36.885245901639344,Moderate,Very High,Low
Gottigere,122130,121067,86790,66013,64702,44306,99.1,71.7,76.1,98.0,20384,31.5,36.3,6970268,9.04,155.56,405976,False,68.47701771197181,17.207964601769913,157.32108518033675,9.163002753577393,52.97797428969131,38.9344262295082,38.52459016393443,41.39344262295082,73.5655737704918,19.87704918032787,90.57377049180327,92.82786885245902,46.72131147540984,Moderate,High,Low
Okalipuram,138471,137027,105136,78599,77551,44243,99.0,76.7,74.8,98.7,33277,42.9,31.9,6159044,6.79,122.73,345240,False,57.05019922373664,18.075110456553755,139.2094568632326,7.803268313631535,56.0052285316059,42.21311475409836,46.72131147540984,40.98360655737705,50.409836065573764,90.98360655737704,36.47540983606557,34.83606557377049,40.98360655737705,Moderate,Moderate,Very High
Bande Mutt,148773,147190,93694,68336,66875,43599,98.9,63.7,72.9,97.9,23253,34.8,29.3,6521990,8.47,149.11,383759,False,65.19476635514019,17.60448642266824,149.59035757700866,8.802013807656138,44.95103278148589,44.67213114754098,40.98360655737705,40.57377049180328,40.36885245901639,47.74590163934426,82.58196721311475,81.9672131147541,44.67213114754098,Moderate,Moderate,Moderate
Hosakerehalli,117622,116813,85572,69348,67711,43458,99.3,73.3,81.0,97.6,24243,35.8,37.0,5569815,7.32,129.03,321161,False,64.18159530947705,17.62704918032787,128.16547010907084,7.39014680841272,57.566611688289605,37.295081967213115,41.80327868852459,40.16393442622951,76.63934426229508,54.91803278688525,49.59016393442623,54.91803278688525,37.704918032786885,Moderate,Very High,High
Sriramamandir,103115,102017,73067,62026,60894,43222,98.9,71.6,84.9,98.2,17655,29.0,41.9,5402455,6.58,117.45,311932,False,70.9790783985286,17.84954407294833,124.9931747721068,7.216972837906622,59.0544537652136,30.327868852459016,36.885245901639344,39.75409836065574,93.23770491803278,10.450819672131148,21.721311475409834,25.40983606557377,37.295081967213115,Moderate,Very High,Low
Chokkasandra,151979,151264,115735,74256,73111,43081,99.5,76.5,64.2,98.5,30011,41.0,28.3,4369042,5.01,96.47,237432,False,58.925469491594974,19.255489021956087,101.4145911190548,5.511292681228384,48.1059883273347,45.49180327868852,44.26229508196721,39.34426229508197,33.40163934426229,84.6311475409836,0.4098360655737705,0.4098360655737705,28.688524590163933,Moderate,Moderate,Very High
Tilak Nagar,165973,164860,135480,73314,71905,42761,99.3,82.2,54.1,98.1,29125,40.5,25.8,5238333,6.98,126.96,289803,False,59.46874348098186,18.189111747851,122.5025841303992,6.77727368396436,43.32331162297482,49.18032786885246,42.62295081967213,38.9344262295082,26.84426229508197,81.76229508196722,45.08196721311475,41.59836065573771,36.0655737704918,Moderate,Moderate,Very High
Manorayanapalya,138726,137934,105934,67224,65761,42741,99.4,76.8,63.5,97.8,23005,35.0,30.8,5769512,7.13,128.85,326215,False,64.99444959778592,18.071528751753156,134.9877635057673,7.632367048033504,47.40351484220694,42.62295081967213,39.75409836065574,38.52459016393443,44.67213114754098,49.18032786885246,49.18032786885246,47.74590163934426,38.114754098360656,Moderate,Moderate,Moderate
Srinagar,100697,99704,70561,59450,58086,41921,99.0,70.8,84.3,97.7,16144,27.8,41.6,5044899,6.68,118.81,289196,False,72.17057466515168,17.785928143712574,120.3430023138761,6.898594976264879,57.683942917862495,29.918032786885245,35.65573770491803,38.114754098360656,92.00819672131148,5.532786885245901,26.639344262295083,30.737704918032787,34.42622950819672,Moderate,Very High,Low
Kengeri,108258,107446,68375,57488,56271,39618,99.3,63.6,84.1,97.9,16645,29.6,36.6,6105084,8.4,144.76,362715,False,70.40571519965879,17.23333333333333,154.09874299560806,9.155308193245494,51.978606661863324,32.37704918032787,34.83606557377049,37.704918032786885,74.59016393442623,12.295081967213115,77.04918032786885,80.32786885245902,39.75409836065574,Moderate,High,Low
Marappana Palya,118135,117071,75583,62138,60885,39411,99.1,64.6,82.2,98.0,21463,35.3,33.4,5033661,6.87,122.99,287228,False,64.73022912047303,17.902474526928675,127.72223490903555,7.288016036132045,51.53849409573793,37.704918032786885,36.47540983606557,37.295081967213115,60.245901639344254,51.84426229508197,36.885245901639344,37.90983606557377,34.01639344262295,Moderate,High,High
Hampi Nagar,95276,94422,65398,57118,55601,39198,99.1,69.3,87.3,97.3,16380,29.5,41.1,4996931,6.72,120.11,287236,False,70.49873203719358,17.873511904761905,127.4792336343691,7.327822848104495,58.35782358621269,27.049180327868854,33.19672131147541,36.885245901639344,91.18852459016394,11.475409836065573,29.508196721311474,32.17213114754098,33.60655737704918,Moderate,Very High,Low
Ullal,99172,98336,64672,56247,54815,39147,99.2,65.8,87.0,97.5,15658,28.6,39.5,6139405,9.6,162.23,367154,False,71.41658305208428,16.898958333333333,156.8295143944619,9.378854062891154,55.27265760496915,29.098360655737704,32.37704918032787,36.47540983606557,86.0655737704918,7.991803278688526,94.26229508196722,95.08196721311475,40.16393442622951,Moderate,Very High,Low
Naganathapura,171381,169665,131681,66576,65568,38620,99.0,77.6,50.6,98.5,26938,41.1,22.5,7416872,10.4,179.22,436687,False,58.9006832601269,17.232692307692307,192.04743656136716,11.307276022786121,38.258616766152606,50.81967213114754,39.34426229508197,36.0655737704918,10.450819672131148,85.24590163934425,98.77049180327869,98.77049180327869,49.59016393442623,High,Low,Very High
Kamakya Nagar,109692,108757,82046,58708,57518,38541,99.2,75.4,71.5,98.0,18968,33.0,35.1,4704595,6.01,109.83,265949,False,67.00685002955596,18.274542429284526,122.06727900158273,6.9004177369554505,52.435911461182215,33.19672131147541,35.24590163934426,35.65573770491803,69.4672131147541,32.58196721311475,5.737704918032787,6.147540983606557,32.78688524590164,Moderate,High,Moderate
Mangammanapalya,154378,152837,122653,67435,66180,38343,99.0,80.3,55.0,98.1,27818,42.0,24.8,5773897,7.84,140.92,325690,False,57.9374433363554,17.974489795918366,150.5854262838067,8.49411887437081,42.868802549586086,46.72131147540984,40.16393442622951,35.24590163934426,22.33606557377049,89.34426229508196,70.69672131147541,69.4672131147541,38.52459016393443,Moderate,Low,Very High
Doddagollarahatti,98783,97839,61840,54233,53145,38065,99.0,63.2,87.7,98.0,15069,28.3,38.5,6148958,9.0,151.89,369997,False,71.62480007526578,16.876666666666665,161.53836858006042,9.720136608432943,53.799742870736864,28.688524590163933,30.327868852459016,34.83606557377049,82.99180327868852,6.967213114754098,86.47540983606558,90.77868852459017,40.57377049180328,Moderate,Very High,Low
T Dasarahalli,116879,116132,81881,62233,61128,37945,99.4,70.5,76.0,98.2,23152,37.9,32.5,4428407,6.41,115.27,248636,False,62.07466300222484,17.98283931357254,116.70594281196469,6.5525365660824875,52.300242130750604,36.47540983606557,37.295081967213115,34.42622950819672,54.91803278688525,67.41803278688525,19.262295081967213,20.69672131147541,29.918032786885245,Moderate,High,High
Vidyapeeta ward,98218,97305,72769,57004,55960,37832,99.1,74.8,78.3,98.2,18111,32.4,38.5,4405252,6.19,112.18,247727,False,67.60543245175124,18.122778675282714,116.44248255445126,6.548080989638401,56.97529984320593,27.86885245901639,34.01639344262295,34.01639344262295,82.99180327868852,29.098360655737704,10.655737704918032,11.270491803278688,29.098360655737704,Moderate,Very High,Moderate
Chamundi Nagara,109038,108468,82395,56986,56063,37616,99.5,76.0,69.2,98.4,18434,32.9,34.5,4634638,5.79,108.06,258432,False,67.0959456325919,18.66321243523316,123.20921948107188,6.870267971076138,51.416020103083326,32.78688524590164,34.42622950819672,33.60655737704918,64.95901639344262,31.557377049180328,4.098360655737705,2.8688524590163933,31.967213114754102,Moderate,High,Moderate
Atturu Layout,106263,105338,71258,55686,54548,37150,99.1,67.6,78.1,98.0,17385,31.9,35.0,6254460,9.0,169.54,372076,False,68.10515509276233,18.837777777777777,168.35693135935398,10.015504710632571,51.33301337248148,31.147540983606557,31.557377049180328,33.19672131147541,68.0327868852459,25.81967213114754,97.1311475409836,90.77868852459017,42.21311475409836,Moderate,High,Moderate
J P Park,107208,106388,77661,55905,54791,37081,99.2,73.0,72.0,98.0,17699,32.3,34.6,4936530,6.65,119.43,284992,False,67.67717325838186,17.959398496240603,133.12828672365902,7.685661120250263,51.107193493022905,31.967213114754102,31.967213114754102,32.78688524590164,65.57377049180327,28.278688524590162,28.278688524590162,28.278688524590162,33.19672131147541,Moderate,High,Moderate
Nagarabhavi,87574,86839,60510,52907,51678,36747,99.2,69.7,87.4,97.7,14920,28.9,42.0,5050626,7.73,134.74,295639,False,71.10762800417973,17.43078913324709,137.443219854682,8.04525539499823,59.010665265946514,24.18032786885246,28.688524590163933,32.37704918032787,94.4672131147541,9.836065573770492,62.704918032786885,66.80327868852459,34.83606557377049,Low,Very High,Low
Marenahalli,83523,82785,56507,51111,49970,36141,99.1,68.3,90.5,97.8,13815,27.7,43.3,4340983,7.04,124.1,248263,False,72.32539523714229,17.627840909090907,120.11242079632551,6.869289726349575,59.82783185469871,22.540983606557376,27.459016393442624,31.967213114754102,98.36065573770492,4.918032786885246,39.34426229508197,44.67213114754098,28.278688524590162,Low,Very High,Low
Dr. Raj Kumar Ward,89477,88660,61954,52508,51412,35829,99.1,69.9,84.8,97.9,15561,30.3,40.0,4510924,7.15,126.07,257641,False,69.68995565237688,17.63216783216783,125.90147645761813,7.190850986630942,57.45834124970662,25.0,27.86885245901639,31.557377049180328,87.29508196721312,15.163934426229508,43.0327868852459,48.36065573770492,30.737704918032787,Low,Very High,Low
Jaraganahalli,110924,110009,85970,59511,58207,35674,99.2,78.1,69.2,97.8,22518,38.7,32.2,4062345,6.79,121.3,225413,False,61.28816121772296,17.864506627393226,113.87410999607557,6.318691483993945,52.47466733980022,33.60655737704918,36.0655737704918,31.147540983606557,52.86885245901639,70.49180327868852,32.37704918032787,34.83606557377049,26.229508196721312,Moderate,High,High
Chickpete,185488,183645,150079,93173,92089,34980,99.0,81.7,62.1,98.8,57078,62.0,18.9,5808054,9.79,167.33,340988,False,37.98499277872493,17.091930541368747,166.0392795883362,9.748084619782732,49.64687742603295,52.04918032786885,54.50819672131148,30.737704918032787,2.2540983606557377,99.59016393442623,95.49180327868852,96.31147540983606,39.34426229508197,High,Low,Very High
Gali Anjenaya Temple ward,104178,103308,65657,55007,54258,34405,99.2,63.6,83.8,98.6,19834,36.5,33.0,5059895,8.23,144.08,288389,False,63.41000405470161,17.506682867557718,147.06859468100566,8.382182822264205,52.08201347693371,30.737704918032787,31.147540983606557,30.327868852459016,57.786885245901644,59.01639344262295,74.18032786885246,76.02459016393442,35.24590163934426,Moderate,High,High
Vannarapete,99365,98763,79376,50576,49797,33723,99.4,80.4,63.7,98.5,16070,32.3,33.9,4082537,6.51,117.94,227962,False,67.72094704500272,18.116743471582183,121.06090798564777,6.759837499629333,50.11523172143109,29.508196721311474,27.049180327868854,29.918032786885245,63.729508196721305,28.278688524590162,23.36065573770492,22.950819672131146,26.639344262295083,Moderate,High,Moderate
Kammanahalli,111511,110898,87583,55916,55260,33576,99.5,79.0,63.8,98.8,21666,39.2,30.1,4412131,6.67,121.53,248871,False,60.7600434310532,18.22038980509745,131.4072849654515,7.412169406719085,49.555649218462754,34.42622950819672,32.78688524590164,29.508196721311474,42.62295081967213,73.77049180327869,32.78688524590164,29.918032786885245,29.508196721311474,Moderate,Moderate,High
Defence Colony,113502,112831,80837,56497,55754,33207,99.4,71.6,69.9,98.7,22522,40.4,29.3,3857800,6.09,111.03,217101,False,59.55985220791333,18.23152709359606,116.17430059927123,6.537808293432108,49.121601381473454,34.83606557377049,33.60655737704918,29.098360655737704,40.36885245901639,80.5327868852459,8.19672131147541,7.786885245901639,25.0,Moderate,Moderate,Very High
Kushal Nagar,106911,106401,82697,52289,51701,32787,99.5,77.7,63.2,98.9,18908,36.6,30.7,4058575,6.48,118.28,227574,False,63.41656834490629,18.253086419753085,123.78610424863513,6.940982706560527,48.358915359504635,31.557377049180328,29.098360655737704,28.688524590163933,43.44262295081967,59.83606557377049,25.0,22.131147540983605,25.81967213114754,Moderate,Moderate,High
Rajaji Nagar,78766,78002,52276,46245,45396,32404,99.0,67.0,88.5,98.2,12979,28.6,41.1,4107176,6.26,112.33,235670,False,71.38073839104767,17.94408945686901,126.7490433279842,7.272867547216393,57.63400451971663,21.311475409836063,25.0,28.278688524590162,91.18852459016394,7.991803278688526,11.885245901639344,13.319672131147541,27.049180327868854,Low,Very High,Low
Bommanahalli,152618,151217,122893,55029,54175,32011,99.1,81.3,44.8,98.4,22152,40.9,21.0,4456835,7.35,132.21,249748,False,59.08814028610983,17.98775510204082,139.22823404454718,7.80194308206554,35.497123537197446,45.90163934426229,30.737704918032787,27.86885245901639,5.532786885245901,83.81147540983606,57.377049180327866,56.35245901639344,30.327868852459016,Moderate,Low,Very High
Vijinapura,125088,124310,95925,52300,51728,31626,99.4,77.2,54.5,98.9,20092,38.8,25.3,4521821,7.46,134.92,255491,False,61.13903495205692,18.0857908847185,142.97796117118827,8.078511351419717,41.35328728575083,39.75409836065574,29.508196721311474,27.459016393442624,24.59016393442623,71.72131147540983,63.114754098360656,59.01639344262295,31.147540983606557,Moderate,Low,High
Srinivasa Nagar,74452,73908,51573,43303,42504,31259,99.3,69.8,84.0,98.2,11234,26.4,42.0,3641236,6.62,117.91,207210,False,73.54366647844908,17.811178247734137,116.48600403083911,6.628810902460091,57.08913125235051,19.672131147540984,22.131147540983605,27.049180327868854,94.4672131147541,1.8442622950819672,22.950819672131146,26.84426229508197,23.770491803278688,Low,Very High,Low
Agaram,140342,139281,113197,52499,51730,31096,99.2,81.3,46.4,98.5,20624,39.9,22.2,4144647,7.01,127.39,229317,False,60.112120626329016,18.172610556348076,133.28553511705687,7.374485464368408,36.85995639224181,43.44262295081967,29.918032786885245,26.639344262295083,7.786885245901639,77.6639344262295,45.90163934426229,43.44262295081967,27.459016393442624,Moderate,Low,Very High
Gayithri Nagar,77922,77120,52814,44397,43591,31052,99.0,68.5,84.1,98.2,12526,28.7,39.9,3714235,6.33,114.27,211782,False,71.23488793558303,18.0521327014218,119.6133904418395,6.820237021769934,55.94183927517261,20.901639344262296,22.540983606557376,26.229508196721312,86.68032786885246,8.60655737704918,17.62295081967213,17.21311475409836,24.18032786885246,Low,Very High,Low
Vijayanagara Krishnadevaraya,79830,79216,51953,45187,44220,30360,99.2,65.6,87.0,97.9,13851,31.3,38.0,4021673,7.41,127.94,235209,False,68.65671641791045,17.265856950067477,132.46617259552042,7.747332015810277,55.39270950770388,21.721311475409834,23.36065573770492,25.81967213114754,80.73770491803278,18.237704918032787,46.72131147540984,57.786885245901644,25.40983606557377,Low,Very High,Low
Kammagondanahalli,88813,88177,63366,44948,44183,30124,99.3,71.9,70.9,98.3,14051,31.8,33.9,4642293,8.44,144.22,274443,False,68.1800692574067,17.087677725118485,154.10612800424911,9.110443500199176,49.74834765180773,24.59016393442623,22.950819672131146,25.40983606557377,63.729508196721305,23.565573770491806,75.0,80.94262295081968,32.37704918032787,Low,High,Low
Veerabhadranagar,83820,83214,58885,46701,45797,29394,99.3,70.8,79.3,98.1,16390,35.8,35.1,3313096,6.11,109.13,186855,False,64.1832434438937,17.860883797054008,112.7133428590869,6.356909573382323,54.637318062514915,22.950819672131146,25.40983606557377,25.0,69.4672131147541,54.91803278688525,5.327868852459016,8.401639344262295,18.852459016393443,Low,High,High
Bharathi Nagar,113705,113062,92076,52147,51610,28677,99.4,81.4,56.6,99.0,22911,44.4,25.2,3577300,6.35,116.49,197970,False,55.564813020732416,18.34488188976378,124.74456881821669,6.903441782613244,45.389384811573805,35.24590163934426,28.278688524590162,24.59016393442623,24.18032786885246,94.26229508196722,20.491803278688526,18.0327868852459,23.36065573770492,Moderate,Low,Very High
Yelachenahalli,92064,91284,68402,48782,47953,28465,99.2,74.9,71.3,98.3,19475,40.6,30.9,3543903,6.32,115.22,199914,False,59.36020686922612,18.231012658227847,124.50036887405585,7.023151238362902,52.08659193604449,26.229508196721312,26.639344262295083,24.18032786885246,45.69672131147541,82.58196721311475,18.442622950819672,16.80327868852459,22.950819672131146,Moderate,Moderate,Very High
Deen Dayalu Ward,86800,86185,60896,45429,44423,28289,99.3,70.7,74.6,97.8,16127,36.3,32.6,3487579,7.42,131.25,198272,False,63.68097607095423,17.68867924528302,123.28392661458517,7.0088020078475735,51.17857142857143,23.770491803278688,23.770491803278688,23.770491803278688,55.32786885245902,57.377049180327866,55.32786885245902,58.19672131147541,22.131147540983605,Low,High,High
Kadugondanahalli,94784,94377,71903,46635,45936,28083,99.6,76.2,64.9,98.5,17837,38.8,29.6,3474646,6.17,113.46,193981,False,61.13505747126437,18.388978930307943,123.72773564077912,6.907417298721646,48.46387575962188,26.639344262295083,25.81967213114754,23.36065573770492,41.39344262295082,71.72131147540983,13.934426229508196,10.655737704918032,21.721311475409834,Moderate,Moderate,High
Sagayarapuram,98658,98158,79329,46502,46108,28010,99.5,80.8,58.6,99.2,18086,39.2,28.4,3270499,5.85,108.3,178616,False,60.74867701917238,18.512820512820515,116.76183505890754,6.376865405212424,46.73518619878773,28.278688524590162,26.229508196721312,22.950819672131146,34.22131147540984,73.77049180327869,4.508196721311475,4.098360655737705,18.0327868852459,Moderate,Moderate,High
Chanakya,96377,95232,57457,46149,44733,27699,98.8,60.3,80.3,96.9,17027,38.1,28.7,3852559,7.52,136.38,221877,False,61.92072966266514,18.13563829787234,139.08657352250984,8.010289180114805,46.41460099401309,27.459016393442624,24.18032786885246,22.540983606557376,37.704918032786885,68.0327868852459,64.34426229508196,61.065573770491795,24.59016393442623,Moderate,Moderate,High
Shivanagara,64174,63577,43741,38676,37977,27691,99.1,68.8,88.4,98.2,10269,27.0,43.1,3383414,6.63,117.86,193984,False,72.91518550701741,17.776772247360483,122.18460871763389,7.0053085840164675,59.1781718452956,16.80327868852459,19.672131147540984,22.131147540983605,97.3360655737705,4.098360655737705,22.540983606557376,27.459016393442624,21.311475409836063,Low,Very High,Low
Mahalakshimpuram,65516,64850,44936,39445,38745,27477,99.0,69.3,87.8,98.2,11250,29.0,41.9,3370934,6.53,116.34,193461,False,70.91753774680603,17.816232771822357,122.68202496633548,7.040834152200022,59.13822577690946,17.21311475409836,20.081967213114755,21.721311475409834,93.23770491803278,10.450819672131148,20.081967213114755,23.975409836065573,20.901639344262296,Low,Very High,Low
