Ward,Searches,Searches_Got_Estimate,Searches_For_Quotes,Searches_Got_Quotes,Bookings,Completed_Trips,Search_To_Estimate_Rate,Estimate_To_Quote_Search_Rate,Quote_Acceptance_Rate,Quote_To_Booking_Rate,Cancelled_Bookings,Booking_Cancellation_Rate,Conversion_Rate,Drivers_Earnings,Average_Distance_Per_Trip_Km,Average_Fare_Per_Trip,Distance_Travelled_Km,Is_Bangalore_Total,Completion_Rate_From_Bookings,Fare_Per_Km,Earnings_Per_Completed_Trip,Distance_Per_Completed_Trip_Km,Booking_to_Search_Rate,Searches_Percentile,Bookings_Percentile,Completed_Trips_Percentile,Conversion_Rate_Percentile,Booking_Cancellation_Rate_Percentile,Average_Fare_Per_Trip_Percentile,Average_Distance_Per_Trip_Km_Percentile,Drivers_Earnings_Percentile,Demand_Quartile,Conversion_Quartile,Cancellation_Quartile
Ganga Nagar,188574,187413,143991,105956,103887,70862,99.4,76.8,73.6,98.0,33000,31.8,37.6,9141119,6.67,120.88,517686,False,68.21065195837785,18.122938530734633,128.99888515706584,7.305551635573368,55.09083967036813,53.278688524590166,62.295081967213115,63.934426229508205,78.48360655737704,23.565573770491806,31.967213114754102,29.918032786885245,60.245901639344254,High,Very High,Low
Veeramadakari,220637,219153,162699,111091,108624,70763,99.3,74.2,68.3,97.8,37831,34.8,32.1,9332952,7.09,125.9,537835,False,65.14490352040065,17.7574047954866,131.89028164436218,7.600511566779249,49.23199644665219,60.245901639344254,64.75409836065575,63.52459016393443,51.84426229508197,47.74590163934426,42.21311475409836,45.90163934426229,61.885245901639344,High,High,Moderate
Kodigehalli,196145,194961,149308,107883,105725,70564,99.4,76.6,72.3,98.0,35140,33.2,36.0,10230486,7.6,133.63,593640,False,66.74296524000945,17.582894736842107,144.9816620372995,8.4127883906808,53.90145045756965,54.91803278688525,63.934426229508205,63.114754098360656,72.1311475409836,33.60655737704918,61.885245901639344,63.114754098360656,64.75409836065575,High,High,Moderate
Chunchaghatta,217645,215880,168160,102629,100846,69785,99.2,77.9,61.0,98.3,31050,30.8,32.1,9809361,8.04,142.83,561909,False,69.19957162406045,17.764925373134332,140.56546535788493,8.052002579350864,46.335086953525234,59.42622950819673,59.42622950819673,62.704918032786885,51.84426229508197,16.39344262295082,72.95081967213115,73.15573770491804,63.52459016393443,High,High,Low
Girinagar,151298,150124,109429,94526,92674,68559,99.2,72.9,86.4,98.0,24098,26.0,45.3,8120554,6.16,110.86,464514,False,73.97867794634956,17.996753246753247,118.44621420965883,6.775390539535291,61.25262726539676,45.08196721311475,54.91803278688525,62.295081967213115,99.18032786885246,1.2295081967213115,7.786885245901639,10.040983606557377,52.86885245901639,Moderate,Very High,Low
Vidyaranyapura,162334,161161,115878,94688,92989,68434,99.3,71.9,81.7,98.2,24532,26.4,42.2,10260458,8.23,142.87,601776,False,73.5936508619299,17.35965978128797,149.9321682204752,8.793523687056142,57.28251629356759,48.36065573770492,55.32786885245902,61.885245901639344,95.90163934426229,1.8442622950819672,73.36065573770492,76.02459016393442,65.1639344262295,Moderate,Very High,Low
Puttenahalli - Sarakki Lake,207078,205166,162436,105664,103627,68322,99.1,79.2,65.0,98.1,35287,34.1,33.0,8925759,6.89,124.26,502544,False,65.93069373811844,18.034833091436866,130.64253095635374,7.355522379321449,50.04249606428496,56.9672131147541,61.885245901639344,61.47540983606557,57.786885245901644,40.98360655737705,39.75409836065574,38.72950819672131,59.01639344262295,High,High,Moderate
Vijnana Nagar,284810,282184,236325,102203,100939,67616,99.1,83.7,43.3,98.8,33306,33.0,23.7,10484765,8.31,148.27,591561,False,66.98699214377,17.842358604091455,155.06337257453856,8.748831637482253,35.44082019592009,70.08196721311475,59.83606557377049,61.065573770491795,15.573770491803279,32.58196721311475,80.73770491803278,78.89344262295081,67.21311475409836,High,Low,Moderate
Ramamurthy Nagara,232429,231146,181021,102245,100972,66479,99.5,78.3,56.5,98.8,34467,34.1,28.6,9319066,7.22,130.58,526973,False,65.83904448758071,18.085872576177287,140.18059838445222,7.926909249537448,43.442083388905864,63.52459016393443,60.245901639344254,60.65573770491803,35.86065573770492,40.98360655737705,52.04918032786885,50.0,61.47540983606557,High,Moderate,Moderate
Kacharkanahalli,191730,190608,151235,100993,99607,65419,99.4,79.3,66.8,98.6,34157,34.3,34.1,8339738,6.79,123.42,468312,False,65.67711104641239,18.176730486008836,127.48189363946254,7.158654213607668,51.95170291555834,53.68852459016394,59.01639344262295,60.245901639344254,64.34426229508196,42.41803278688525,37.295081967213115,34.83606557377049,54.09836065573771,High,High,Moderate
New Bayappanahalli,254107,252254,209679,108901,107300,65408,99.3,83.1,51.9,98.5,41874,39.0,25.7,8828102,6.72,121.67,495902,False,60.958061509785644,18.105654761904763,134.96975905088064,7.581671966731898,42.226306241071676,68.44262295081968,64.34426229508196,59.83606557377049,26.229508196721312,72.74590163934425,34.01639344262295,32.17213114754098,57.377049180327866,High,Moderate,High
